combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,zone_1_baseline_gw,zone_2_baseline_gw,zone_3_baseline_gw,zone_4_baseline_gw,zone_5_baseline_gw,zone_6_baseline_gw,zone_7_baseline_gw,zone_8_baseline_gw,zone_9_baseline_gw,zone_10_baseline_gw,zone_11_baseline_gw,zone_12_baseline_gw,zone_13_baseline_gw,zone_14_baseline_gw,zone_15_baseline_gw,zone_16_baseline_gw,zone_17_baseline_gw,zone_18_baseline_gw,zone_19_baseline_gw,zone_20_baseline_gw,zone_21_baseline_gw,zone_22_baseline_gw,zone_23_baseline_gw,zone_24_baseline_gw,zone_25_baseline_gw,zone_26_baseline_gw,zone_27_baseline_gw,zone_1_reduction_biodiversity_gw,zone_2_reduction_biodiversity_gw,zone_3_reduction_biodiversity_gw,zone_4_reduction_biodiversity_gw,zone_5_reduction_biodiversity_gw,zone_6_reduction_biodiversity_gw,zone_7_reduction_biodiversity_gw,zone_8_reduction_biodiversity_gw,zone_9_reduction_biodiversity_gw,zone_10_reduction_biodiversity_gw,zone_11_reduction_biodiversity_gw,zone_12_reduction_biodiversity_gw,zone_13_reduction_biodiversity_gw,zone_14_reduction_biodiversity_gw,zone_15_reduction_biodiversity_gw,zone_16_reduction_biodiversity_gw,zone_17_reduction_biodiversity_gw,zone_18_reduction_biodiversity_gw,zone_19_reduction_biodiversity_gw,zone_20_reduction_biodiversity_gw,zone_21_reduction_biodiversity_gw,zone_22_reduction_biodiversity_gw,zone_23_reduction_biodiversity_gw,zone_24_reduction_biodiversity_gw,zone_25_reduction_biodiversity_gw,zone_26_reduction_biodiversity_gw,zone_27_reduction_biodiversity_gw,zone_1_reduction_world_heritage_gw,zone_2_reduction_world_heritage_gw,zone_3_reduction_world_heritage_gw,zone_4_reduction_world_heritage_gw,zone_5_reduction_world_heritage_gw,zone_6_reduction_world_heritage_gw,zone_7_reduction_world_heritage_gw,zone_8_reduction_world_heritage_gw,zone_9_reduction_world_heritage_gw,zone_10_reduction_world_heritage_gw,zone_11_reduction_world_heritage_gw,zone_12_reduction_world_heritage_gw,zone_13_reduction_world_heritage_gw,zone_14_reduction_world_heritage_gw,zone_15_reduction_world_heritage_gw,zone_16_reduction_world_heritage_gw,zone_17_reduction_world_heritage_gw,zone_18_reduction_world_heritage_gw,zone_19_reduction_world_heritage_gw,zone_20_reduction_world_heritage_gw,zone_21_reduction_world_heritage_gw,zone_22_reduction_world_heritage_gw,zone_23_reduction_world_heritage_gw,zone_24_reduction_world_heritage_gw,zone_25_reduction_world_heritage_gw,zone_26_reduction_world_heritage_gw,zone_27_reduction_world_heritage_gw,zone_1_reduction_landscape_gw,zone_2_reduction_landscape_gw,zone_3_reduction_landscape_gw,zone_4_reduction_landscape_gw,zone_5_reduction_landscape_gw,zone_6_reduction_landscape_gw,zone_7_reduction_landscape_gw,zone_8_reduction_landscape_gw,zone_9_reduction_landscape_gw,zone_10_reduction_landscape_gw,zone_11_reduction_landscape_gw,zone_12_reduction_landscape_gw,zone_13_reduction_landscape_gw,zone_14_reduction_landscape_gw,zone_15_reduction_landscape_gw,zone_16_reduction_landscape_gw,zone_17_reduction_landscape_gw,zone_18_reduction_landscape_gw,zone_19_reduction_landscape_gw,zone_20_reduction_landscape_gw,zone_21_reduction_landscape_gw,zone_22_reduction_landscape_gw,zone_23_reduction_landscape_gw,zone_24_reduction_landscape_gw,zone_25_reduction_landscape_gw,zone_26_reduction_landscape_gw,zone_27_reduction_landscape_gw,zone_1_reduction_listed_gw,zone_2_reduction_listed_gw,zone_3_reduction_listed_gw,zone_4_reduction_listed_gw,zone_5_reduction_listed_gw,zone_6_reduction_listed_gw,zone_7_reduction_listed_gw,zone_8_reduction_listed_gw,zone_9_reduction_listed_gw,zone_10_reduction_listed_gw,zone_11_reduction_listed_gw,zone_12_reduction_listed_gw,zone_13_reduction_listed_gw,zone_14_reduction_listed_gw,zone_15_reduction_listed_gw,zone_16_reduction_listed_gw,zone_17_reduction_listed_gw,zone_18_reduction_listed_gw,zone_19_reduction_listed_gw,zone_20_reduction_listed_gw,zone_21_reduction_listed_gw,zone_22_reduction_listed_gw,zone_23_reduction_listed_gw,zone_24_reduction_listed_gw,zone_25_reduction_listed_gw,zone_26_reduction_listed_gw,zone_27_reduction_listed_gw,zone_1_reduction_building_gw,zone_2_reduction_building_gw,zone_3_reduction_building_gw,zone_4_reduction_building_gw,zone_5_reduction_building_gw,zone_6_reduction_building_gw,zone_7_reduction_building_gw,zone_8_reduction_building_gw,zone_9_reduction_building_gw,zone_10_reduction_building_gw,zone_11_reduction_building_gw,zone_12_reduction_building_gw,zone_13_reduction_building_gw,zone_14_reduction_building_gw,zone_15_reduction_building_gw,zone_16_reduction_building_gw,zone_17_reduction_building_gw,zone_18_reduction_building_gw,zone_19_reduction_building_gw,zone_20_reduction_building_gw,zone_21_reduction_building_gw,zone_22_reduction_building_gw,zone_23_reduction_building_gw,zone_24_reduction_building_gw,zone_25_reduction_building_gw,zone_26_reduction_building_gw,zone_27_reduction_building_gw,zone_1_reduction_parcel_filter_gw,zone_2_reduction_parcel_filter_gw,zone_3_reduction_parcel_filter_gw,zone_4_reduction_parcel_filter_gw,zone_5_reduction_parcel_filter_gw,zone_6_reduction_parcel_filter_gw,zone_7_reduction_parcel_filter_gw,zone_8_reduction_parcel_filter_gw,zone_9_reduction_parcel_filter_gw,zone_10_reduction_parcel_filter_gw,zone_11_reduction_parcel_filter_gw,zone_12_reduction_parcel_filter_gw,zone_13_reduction_parcel_filter_gw,zone_14_reduction_parcel_filter_gw,zone_15_reduction_parcel_filter_gw,zone_16_reduction_parcel_filter_gw,zone_17_reduction_parcel_filter_gw,zone_18_reduction_parcel_filter_gw,zone_19_reduction_parcel_filter_gw,zone_20_reduction_parcel_filter_gw,zone_21_reduction_parcel_filter_gw,zone_22_reduction_parcel_filter_gw,zone_23_reduction_parcel_filter_gw,zone_24_reduction_parcel_filter_gw,zone_25_reduction_parcel_filter_gw,zone_26_reduction_parcel_filter_gw,zone_27_reduction_parcel_filter_gw,zone_1_final_gw,zone_2_final_gw,zone_3_final_gw,zone_4_final_gw,zone_5_final_gw,zone_6_final_gw,zone_7_final_gw,zone_8_final_gw,zone_9_final_gw,zone_10_final_gw,zone_11_final_gw,zone_12_final_gw,zone_13_final_gw,zone_14_final_gw,zone_15_final_gw,zone_16_final_gw,zone_17_final_gw,zone_18_final_gw,zone_19_final_gw,zone_20_final_gw,zone_21_final_gw,zone_22_final_gw,zone_23_final_gw,zone_24_final_gw,zone_25_final_gw,zone_26_final_gw,zone_27_final_gw
57,bio0_whs0_land4_list1500_bld750,False,False,4,1500,750,109.6,3.6,28.8,8.8,45.0,11.3,10.0,7.4,6.6,26.8,28.1,25.2,26.8,18.7,50.9,40.3,12.9,118.2,2.6,4.3,11.9,15.9,0.0,15.1,15.5,28.4,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,5.9,1.2,19.9,3.5,2.4,3.7,0.0,1.1,0.6,6.8,17.6,14.1,24.2,17.1,0.2,19.4,0.9,1.7,4.8,7.6,0.0,5.6,9.1,13.2,7.6,2.5,0.3,0.3,0.1,2.2,0.3,0.2,0.2,1.5,2.3,3.3,3.4,3.1,1.7,9.4,9.9,3.8,52.0,0.8,0.7,3.0,4.7,0.0,5.2,4.2,9.1,4.9,56.6,3.2,14.8,4.7,15.5,4.8,5.0,2.1,4.7,17.0,17.6,11.7,6.0,2.9,17.0,12.8,8.4,43.5,0.9,1.9,4.0,2.9,0.0,4.1,2.2,6.0,4.0,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,0.1,7.6,2.8,7.3,2.7,2.4,1.3,0.5,6.4,6.5,3.2,0.1,0.0,0.3,0.5,0.5,3.2,0.0,0.0,0.1,0.7,0.0,0.2,0.0,0.1,0.0
58,bio0_whs0_land4_list1500_bld1000,False,False,4,1500,1000,109.6,3.6,28.8,8.8,45.0,11.3,10.0,7.4,6.6,26.8,28.1,25.2,26.8,18.7,50.9,40.3,12.9,118.2,2.6,4.3,11.9,15.9,0.0,15.1,15.5,28.4,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,5.9,1.2,19.9,3.5,2.4,3.7,0.0,1.1,0.6,6.8,17.6,14.1,24.2,17.1,0.2,19.4,0.9,1.7,4.8,7.6,0.0,5.6,9.1,13.2,7.6,2.5,0.3,0.3,0.1,2.2,0.3,0.2,0.2,1.5,2.3,3.3,3.4,3.1,1.7,9.4,9.9,3.8,52.0,0.8,0.7,3.0,4.7,0.0,5.2,4.2,9.1,4.9,66.4,3.2,17.9,5.9,18.1,5.8,6.0,2.6,4.9,19.5,20.2,13.0,6.0,2.9,17.2,13.1,8.7,45.1,0.9,1.9,4.1,3.1,0.0,4.2,2.2,6.1,4.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,4.6,1.6,4.8,1.7,1.4,0.9,0.3,3.9,4.0,2.1,0.0,0.0,0.1,0.2,0.2,1.7,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
59,bio0_whs0_land4_list1500_bld1250,False,False,4,1500,1250,109.6,3.6,28.8,8.8,45.0,11.3,10.0,7.4,6.6,26.8,28.1,25.2,26.8,18.7,50.9,40.3,12.9,118.2,2.6,4.3,11.9,15.9,0.0,15.1,15.5,28.4,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,5.9,1.2,19.9,3.5,2.4,3.7,0.0,1.1,0.6,6.8,17.6,14.1,24.2,17.1,0.2,19.4,0.9,1.7,4.8,7.6,0.0,5.6,9.1,13.2,7.6,2.5,0.3,0.3,0.1,2.2,0.3,0.2,0.2,1.5,2.3,3.3,3.4,3.1,1.7,9.4,9.9,3.8,52.0,0.8,0.7,3.0,4.7,0.0,5.2,4.2,9.1,4.9,72.6,3.3,19.8,6.6,19.7,6.5,6.6,2.9,5.0,21.0,21.7,13.7,6.0,2.9,17.2,13.3,8.8,45.8,0.9,1.9,4.1,3.2,0.0,4.2,2.3,6.1,4.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,2.7,0.9,3.1,1.0,0.8,0.5,0.2,2.4,2.5,1.4,0.0,0.0,0.0,0.1,0.1,0.9,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
60,bio0_whs1_land1_list500_bld250,False,True,1,500,250,109.6,3.6,28.8,8.8,45.0,11.3,10.0,7.4,6.6,26.8,28.1,25.2,26.8,18.7,50.9,40.3,12.9,118.2,2.6,4.3,11.9,15.9,0.0,15.1,15.5,28.4,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.3,1.1,1.2,0.3,5.7,0.1,0.1,0.4,0.8,0.0,1.1,1.0,1.5,0.8,14.3,0.8,4.3,0.8,4.7,1.6,1.4,1.2,1.5,3.0,3.1,3.3,5.5,2.7,16.8,12.7,2.7,44.9,1.0,1.4,3.5,5.3,0.0,6.2,6.1,9.5,5.2,1.1,0.1,0.4,0.1,0.5,0.1,0.2,0.2,0.2,0.5,0.5,0.4,0.4,0.3,1.0,1.0,0.2,3.6,0.1,0.2,0.4,0.5,0.0,0.5,0.7,1.0,0.8,76.0,2.6,24.1,7.9,39.6,9.6,8.4,6.0,4.9,23.3,24.2,19.5,19.6,9.2,32.1,25.4,9.7,64.0,1.3,2.6,7.4,9.1,0.0,7.3,7.7,16.2,9.5
61,bio0_whs1_land1_list500_bld500,False,True,1,500,500,109.6,3.6,28.8,8.8,45.0,11.3,10.0,7.4,6.6,26.8,28.1,25.2,26.8,18.7,50.9,40.3,12.9,118.2,2.6,4.3,11.9,15.9,0.0,15.1,15.5,28.4,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.3,1.1,1.2,0.3,5.7,0.1,0.1,0.4,0.8,0.0,1.1,1.0,1.5,0.8,46.8,3.2,12.8,3.5,18.5,5.1,4.7,3.2,5.3,14.0,14.9,13.7,18.1,8.6,41.8,32.2,10.3,100.0,2.2,3.9,8.9,12.5,0.0,13.0,13.2,23.2,12.7,0.6,0.0,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.6,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.1,44.0,0.3,15.6,5.2,26.0,6.1,5.2,4.0,1.2,12.4,12.7,9.3,7.3,3.5,7.9,6.7,2.3,11.9,0.3,0.3,2.4,2.3,0.0,0.9,1.2,3.3,2.7
62,bio0_whs1_land1_list500_bld750,False,True,1,500,750,109.6,3.6,28.8,8.8,45.0,11.3,10.0,7.4,6.6,26.8,28.1,25.2,26.8,18.7,50.9,40.3,12.9,118.2,2.6,4.3,11.9,15.9,0.0,15.1,15.5,28.4,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.3,1.1,1.2,0.3,5.7,0.1,0.1,0.4,0.8,0.0,1.1,1.0,1.5,0.8,65.3,3.5,19.2,5.6,27.3,7.3,7.0,4.6,6.0,19.8,21.0,18.0,22.5,10.7,47.6,36.8,12.1,108.2,2.3,4.1,10.2,13.9,0.0,13.8,14.3,25.9,13.8,0.3,0.0,0.2,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,0.1,9.3,3.1,17.4,3.9,3.0,2.8,0.5,6.8,6.7,5.0,3.0,1.5,2.2,2.2,0.5,4.2,0.1,0.1,1.1,0.9,0.0,0.2,0.2,0.8,1.6
63,bio0_whs1_land1_list500_bld1000,False,True,1,500,1000,109.6,3.6,28.8,8.8,45.0,11.3,10.0,7.4,6.6,26.8,28.1,25.2,26.8,18.7,50.9,40.3,12.9,118.2,2.6,4.3,11.9,15.9,0.0,15.1,15.5,28.4,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.3,1.1,1.2,0.3,5.7,0.1,0.1,0.4,0.8,0.0,1.1,1.0,1.5,0.8,75.4,3.5,23.1,7.0,33.0,8.8,8.3,5.5,6.2,22.6,23.7,20.0,24.1,11.5,49.1,38.2,12.4,110.3,2.4,4.2,10.7,14.3,0.0,13.9,14.4,26.4,14.4,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,5.5,1.8,11.7,2.4,1.7,1.8,0.3,4.1,4.1,3.1,1.4,0.7,0.8,0.9,0.2,2.1,0.1,0.0,0.6,0.6,0.0,0.0,0.0,0.3,1.0
64,bio0_whs1_land1_list500_bld1250,False,True,1,500,1250,109.6,3.6,28.8,8.8,45.0,11.3,10.0,7.4,6.6,26.8,28.1,25.2,26.8,18.7,50.9,40.3,12.9,118.2,2.6,4.3,11.9,15.9,0.0,15.1,15.5,28.4,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.3,1.1,1.2,0.3,5.7,0.1,0.1,0.4,0.8,0.0,1.1,1.0,1.5,0.8,81.5,3.5,25.5,7.7,36.9,9.8,9.0,6.2,6.4,24.2,25.2,21.2,24.9,11.8,49.6,38.7,12.5,111.4,2.4,4.2,11.0,14.5,0.0,13.9,14.5,26.6,14.8,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,3.1,1.0,7.8,1.5,1.0,1.1,0.2,2.5,2.5,1.9,0.7,0.3,0.2,0.4,0.1,1.1,0.1,0.0,0.3,0.4,0.0,0.0,0.0,0.1,0.6
65,bio0_whs1_land1_list1000_bld250,False,True,1,1000,250,109.6,3.6,28.8,8.8,45.0,11.3,10.0,7.4,6.6,26.8,28.1,25.2,26.8,18.7,50.9,40.3,12.9,118.2,2.6,4.3,11.9,15.9,0.0,15.1,15.5,28.4,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.1,0.2,0.0,1.0,0.1,0.1,0.1,0.7,0.9,1.4,1.6,2.1,1.4,6.4,7.0,1.8,31.3,0.5,0.6,2.0,4.6,0.0,5.1,5.2,8.2,3.9,14.1,0.8,4.2,0.8,4.5,1.6,1.4,1.2,1.3,2.8,2.9,3.0,5.0,2.4,14.5,10.2,2.2,32.5,0.9,1.2,2.8,3.6,0.0,4.2,4.1,6.6,3.9,1.0,0.1,0.4,0.1,0.5,0.1,0.2,0.2,0.2,0.5,0.4,0.4,0.4,0.2,0.8,0.9,0.2,2.9,0.1,0.2,0.4,0.4,0.0,0.4,0.6,0.8,0.6,75.3,2.6,24.0,7.8,38.9,9.5,8.4,5.9,4.5,22.7,23.3,18.5,18.4,8.4,29.2,22.2,8.7,51.4,1.1,2.3,6.6,7.1,0.0,5.4,5.7,12.6,7.9
66,bio0_whs1_land1_list1000_bld500,False,True,1,1000,500,109.6,3.6,28.8,8.8,45.0,11.3,10.0,7.4,6.6,26.8,28.1,25.2,26.8,18.7,50.9,40.3,12.9,118.2,2.6,4.3,11.9,15.9,0.0,15.1,15.5,28.4,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.1,0.2,0.0,1.0,0.1,0.1,0.1,0.7,0.9,1.4,1.6,2.1,1.4,6.4,7.0,1.8,31.3,0.5,0.6,2.0,4.6,0.0,5.1,5.2,8.2,3.9,45.9,3.1,12.7,3.4,17.8,5.0,4.6,3.2,4.8,13.3,13.9,12.5,16.5,7.5,36.7,26.7,8.8,75.0,1.8,3.5,7.3,8.9,0.0,9.1,9.3,16.8,9.7,0.6,0.0,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.5,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.1,43.9,0.3,15.6,5.2,25.9,6.1,5.2,4.0,1.2,12.3,12.5,9.2,7.2,3.4,7.6,6.4,2.2,11.2,0.3,0.3,2.4,2.2,0.0,0.8,1.0,3.1,2.6
67,bio0_whs1_land1_list1000_bld750,False,True,1,1000,750,109.6,3.6,28.8,8.8,45.0,11.3,10.0,7.4,6.6,26.8,28.1,25.2,26.8,18.7,50.9,40.3,12.9,118.2,2.6,4.3,11.9,15.9,0.0,15.1,15.5,28.4,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.1,0.2,0.0,1.0,0.1,0.1,0.1,0.7,0.9,1.4,1.6,2.1,1.4,6.4,7.0,1.8,31.3,0.5,0.6,2.0,4.6,0.0,5.1,5.2,8.2,3.9,64.4,3.4,19.1,5.6,26.4,7.2,6.9,4.5,5.5,19.0,19.8,16.7,20.8,9.5,42.3,31.1,10.6,82.5,1.9,3.7,8.6,10.2,0.0,9.8,10.2,19.3,10.8,0.3,0.0,0.2,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,0.1,9.3,3.1,17.4,3.9,3.0,2.8,0.5,6.8,6.7,5.0,3.0,1.5,2.2,2.2,0.5,4.2,0.1,0.1,1.1,0.9,0.0,0.2,0.2,0.7,1.6
